34.86	1.03	0.07
52.26	1.5	0.15
78.35	2.13	0.01
117.5	2.82	0.08
176.1	3.52	0.08
264.0	4.76	0.38
395.9	5.62	0.08
593.5	6.58	0.04
889.8	7.08	0.54
1334	7.89	0.36
2000	8.68	0.78
