-12	62.0916019856	1.4721500558
-11.5	61.4602371392	2.4261489429
-11	65.0149900767	2.3846030569
-10.5	66.2969228278	3.5573090554
-10	62.2319319199	4.159858584
-9.5	71.625114973	3.0172185076
-9	78.9671452296	3.926398219
-8.5	114.4374066765	5.1731291578
-8	159.5531356454	3.6206565542
-7.5	192.1554745666	8.9597327491
-7	213.2889018612	10.2102439368
-6.5	239.2462638205	14.3554218087
-6	221.2579755385	15.0899365434
-5.5	233.4865395996	0.8317349087
-5	230.0705865701	4.4054249086
-4.5	241.5177161076	11.6016936071
-4	238.6218839589	7.4763754612
-3.5	222.3386590641	15.4963179016
-3	228.8505888622	6.3187176535

