-12	38.6734328138	2.2628628917
-11.5	38.6571940575	2.3248169426
-11	40.0173194854	0.5304767176
-10.5	41.6783427972	1.4219610576
-10	40.9881689331	0.7759125736
-9.5	43.316938292	1.2936246665
-9	54.6349989686	3.3175062221
-8.5	70.1599060009	5.073388216
-8	114.0366660191	4.5833009131
-7.5	177.8913154036	9.6738791699
-7	208.8570882892	1.1333380567
-6.5	219.930962099	6.5170166716
-6	221.7351177762	12.3128297913
-5.5	223.3546259989	12.7791089586
-5	234.4502227408	1.9843503632
-4.5	242.7597346342	13.4208659396
-4	227.4705387587	8.2255311955
-3.5	238.1361667876	6.7849647398
-3	228.7363669815	6.4776210845

