-12	86.7838785725	3.5655841526
-11.5	81.0035409694	4.6642934549
-11	80.4807669333	5.6527308689
-10.5	88.8922216136	5.4165993887
-10	89.997726676	4.5133273342
-9.5	93.4065828314	1.9020801014
-9	102.9748896837	4.9157435182
-8.5	131.1231281375	8.8406125121
-8	184.4475497421	7.4560196694
-7.5	217.6942443275	10.0884833892
-7	216.4777485582	12.4165385088
-6.5	235.3967634681	6.6361373692
-6	231.5092692145	1.378984817
-5.5	233.7016971647	0.8981048927
-5	242.786610841	13.4490281922
-4.5	221.7507448171	16.2935171217
-4	244.8305001868	16.2230021122
-3.5	222.6876219193	15.0066592091
-3	243.2475300107	13.9802170615

