-1.0000e+01 2.9985e-09 8.2367e-13
-9.5000e+00 3.0656e-08 6.8443e-10
-9.0000e+00 3.1336e-07 1.4314e-08
-8.5000e+00 2.9133e-06 5.5900e-08
-8.0000e+00 2.8931e-05 1.0589e-07
-7.5000e+00 2.7046e-04 5.7729e-07
-7.0000e+00 2.1665e-03 4.6124e-05
-6.5000e+00 1.2806e-02 2.1837e-04
-6.0000e+00 4.5212e-02 1.7298e-03
-5.5000e+00 8.2524e-02 2.3792e-03
-5.0000e+00 1.0222e-01 1.7577e-04
-4.5000e+00 1.1324e-01 2.3422e-03
-4.0000e+00 1.1557e-01 1.6298e-03
-3.5000e+00 1.1237e-01 2.5577e-03
-3.0000e+00 1.1320e-01 2.0443e-03
-2.5000e+00 1.1299e-01 2.3542e-03
-2.0000e+00 1.1605e-01 6.7338e-04
