-1.0000e+01 5.9084e-10 5.9084e-10
-9.5000e+00 6.2880e-09 6.2880e-09
-9.0000e+00 6.0888e-08 6.0888e-08
-8.5000e+00 5.8563e-07 5.8563e-07
-8.0000e+00 5.8407e-06 5.8407e-06
-7.5000e+00 5.2641e-05 5.2641e-05
-7.0000e+00 4.9312e-04 4.9312e-04
-6.5000e+00 3.1055e-03 3.1055e-03
-6.0000e+00 1.1617e-02 1.1617e-02
-5.5000e+00 2.4634e-02 2.4634e-02
-5.0000e+00 3.2762e-02 3.2762e-02
-4.5000e+00 3.6738e-02 3.6738e-02
-4.0000e+00 3.6706e-02 3.6706e-02
-3.5000e+00 3.8979e-02 3.8979e-02
-3.0000e+00 3.8352e-02 3.8352e-02
-2.5000e+00 3.9414e-02 3.9414e-02
-2.0000e+00 3.7112e-02 3.7112e-02
