-1.0000e+01 7.4079e-10 9.0898e-12
-9.5000e+00 7.5720e-09 7.7530e-11
-9.0000e+00 7.2686e-08 2.1236e-09
-8.5000e+00 7.4300e-07 8.2928e-10
-8.0000e+00 6.8959e-06 4.0999e-07
-7.5000e+00 6.9227e-05 1.2912e-07
-7.0000e+00 5.9210e-04 7.1346e-06
-6.5000e+00 3.7224e-03 8.3957e-06
-6.0000e+00 1.3846e-02 1.0896e-04
-5.5000e+00 2.7791e-02 3.7499e-04
-5.0000e+00 3.7280e-02 2.2301e-04
-4.5000e+00 4.1452e-02 6.9311e-06
-4.0000e+00 4.2936e-02 1.1399e-04
-3.5000e+00 4.4438e-02 1.1669e-03
-3.0000e+00 4.5015e-02 1.5998e-03
-2.5000e+00 4.3099e-02 3.6148e-04
-2.0000e+00 4.2397e-02 1.0783e-03
