-12	96.2115475861	5.3370854685
-11.5	100.7522379395	1.0753016552
-11	102.0775821649	2.9756772466
-10.5	102.4838425586	3.648300826
-10	104.0104484879	6.1138328294
-9.5	98.0681441296	1.2999710649
-9	99.421129661	3.4280483367
-8.5	88.9586733919	4.2341082922
-8	81.80826881	1.9729824873
-7.5	76.3545691612	0.1697206498
-7	81.6254914421	1.9327072645
-6.5	97.1676658786	5.0541373079
-6	132.6897292717	0.8890657453
-5.5	161.4949566169	6.8080181262
-5	169.4583839676	1.3746250389
-4.5	171.0926407707	2.4853159349
-4	178.827253013	6.3652046113
-3.5	182.7196835531	11.1923782675
-3	180.0661179954	7.2406334578

