-12	101.0763276209	1.4773952277
-11.5	104.1181055366	5.6793797894
-11	103.9707815163	5.1973106415
-10.5	105.6222602888	6.663616326
-10	100.1170882014	3.7738433631
-9.5	103.4686888064	7.0234472843
-9	119.1391277208	6.1339956595
-8.5	157.4384266409	5.2427224463
-8	197.3594528799	9.7023700769
-7.5	220.9323756404	8.4939046166
-7	233.3794776507	13.7079632488
-6.5	217.3970833234	5.3087516662
-6	203.0470859929	8.8609903656
-5.5	186.2086548078	10.3502001316
-5	183.5084575171	1.3671202897
-4.5	173.6341594007	5.6194148511
-4	175.7206241605	0.1895680048
-3.5	180.9031779392	7.9382978773
-3	179.6107821627	6.3789996286

