-9	0.9623	0.0052
-8.5	0.9809	0.0037
-8	1.0885	0.0291
-7.5	1.2216	0.0262
-7	1.4055	0.0361
-6.5	1.6211	0.0439
-6	1.7787	0.0411
-5.5	2.0139	0.0422
-5	2.1719	0.0866
-4.5	2.2942	0.0471
-4	2.4930	0.0286
-3.5	2.5245	0.0280
-3	2.4980	0.0829
 
