-1.0000e+01 2.0084e-04 8.9749e-07
-9.5000e+00 6.4896e-04 1.7107e-05
-9.0000e+00 1.9469e-03 4.7064e-05
-8.5000e+00 6.1960e-03 6.9009e-05
-8.0000e+00 1.9505e-02 9.1216e-05
-7.5000e+00 5.6863e-02 8.0064e-04
-7.0000e+00 1.5251e-01 7.8675e-04
-6.5000e+00 2.9696e-01 4.1221e-03
-6.0000e+00 3.8493e-01 1.5066e-02
-5.5000e+00 4.2477e-01 1.1185e-02
-5.0000e+00 4.0097e-01 5.6860e-03
-4.5000e+00 4.1285e-01 1.0457e-02
-4.0000e+00 4.0506e-01 4.2773e-03
-3.5000e+00 4.0081e-01 5.5752e-04
-3.0000e+00 3.9124e-01 8.8354e-03
-2.5000e+00 3.8495e-01 1.5071e-02
-2.0000e+00 3.9566e-01 4.3464e-03
