0	100.67	9.73
1	93.98	4.86
2	91.44	8.09
5	76.18	6.64
10	59.52	3.03
15	48.71	0.82
20	34.99	1.23
30	22.97	2.21
45	10.39	0.5
60	5.05	0.25
90	1.11	0.01
